,YEAR,EQ_PRIMARY,DEATHS,FOCAL_DEPTH,REGION_CODE,INJURIES,COUNTRY,REGION_CODE
2,-2000,7.1,1.0,18.0,40.0,,TURKMENISTAN,40.0
16,-426,7.1,2500.0,,130.0,,GREECE,130.0
33,-186,7.0,760.0,,30.0,,CHINA,30.0
35,-70,7.0,6000.0,,30.0,,CHINA,30.0
46,-26,5.5,13.0,,30.0,,CHINA,30.0
73,115,7.5,260000.0,,140.0,,TURKEY,140.0
92,294,5.5,101.0,,30.0,,CHINA,30.0
143,512,7.5,5130.0,,30.0,2720.0,CHINA,30.0
148,525,7.0,250000.0,,140.0,,TURKEY,140.0
150,528,7.1,4870.0,,140.0,,TURKEY,140.0
154,551,7.1,5000.0,,130.0,,GREECE,130.0
173,649,5.5,50.0,,30.0,,CHINA,30.0
184,734,7.0,101.0,,30.0,,CHINA,30.0
201,778,5.6,48.0,,130.0,,ITALY,130.0
202,780,6.3,100.0,,30.0,,SOUTH KOREA,30.0
210,814,7.0,101.0,,30.0,,CHINA,30.0
225,851,5.2,12000.0,10.0,40.0,,ARMENIA,40.0
233,856,7.9,200000.0,,140.0,,IRAN,140.0
236,858,5.2,12000.0,10.0,140.0,,TURKEY,140.0
247,871,6.8,20000.0,,140.0,,IRAN,140.0
275,978,5.3,2000.0,,140.0,,IRAN,140.0
289,1008,6.5,16000.0,,140.0,,IRAN,140.0
298,1038,7.3,32300.0,,30.0,,CHINA,30.0
302,1042,7.6,50000.0,15.0,140.0,,IRAN,140.0
308,1057,6.8,25000.0,,30.0,,CHINA,30.0
331,1096,8.4,400.0,,30.0,,JAPAN,30.0
333,1101,6.5,60000.0,10.0,140.0,,IRAN,140.0
356,1143,6.0,10000.0,,30.0,,CHINA,30.0
382,1202,7.6,30000.0,,140.0,,SYRIA,140.0
385,1208,6.1,2000.0,10.0,40.0,,TURKMENISTAN,40.0
386,1209,6.3,3000.0,,30.0,,CHINA,30.0
389,1219,6.5,10000.0,,30.0,,CHINA,30.0
426,1290,6.8,100000.0,,30.0,,CHINA,30.0
428,1291,6.5,150.0,,30.0,,CHINA,30.0
430,1293,7.1,23024.0,,30.0,,JAPAN,30.0
438,1303,8.0,4000.0,,130.0,,GREECE,130.0
441,1305,6.5,2000.0,,30.0,,CHINA,30.0
442,1306,6.5,5000.0,,30.0,,CHINA,30.0
447,1314,6.0,340.0,,30.0,,CHINA,30.0
458,1336,7.6,20000.0,,140.0,,IRAN,140.0
493,1372,4.8,16.0,,30.0,,CHINA,30.0
533,1440,6.3,200.0,,30.0,,CHINA,30.0
571,1482,7.5,30000.0,,140.0,,TURKEY,140.0
577,1487,6.3,1900.0,,30.0,,CHINA,30.0
586,1494,5.5,3.0,,30.0,,CHINA,30.0
600,1501,7.0,400.0,,30.0,,CHINA,30.0
604,1502,6.5,50.0,,30.0,,CHINA,30.0
617,1509,7.7,5000.0,,140.0,10000.0,TURKEY,140.0
624,1511,6.5,15.0,7.0,130.0,,SLOVENIA,130.0
632,1515,7.0,100.0,,30.0,,CHINA,30.0
650,1531,7.7,30000.0,,130.0,,PORTUGAL,130.0
653,1536,7.3,3.0,,30.0,,CHINA,30.0
679,1556,8.0,830000.0,,30.0,,CHINA,30.0
685,1560,5.5,100.0,,30.0,,CHINA,30.0
