,YEAR,EQ_PRIMARY,DEATHS,FOCAL_DEPTH,REGION_CODE,INJURIES,COUNTRY
2,-2000,7.1,1.0,18.0,Asia,,TURKMENISTAN
16,-426,7.1,2500.0,,Europe,,GREECE
33,-186,7.0,760.0,,Asia,,CHINA
35,-70,7.0,6000.0,,Asia,,CHINA
46,-26,5.5,13.0,,Asia,,CHINA
73,115,7.5,260000.0,,Middle East,,TURKEY
92,294,5.5,101.0,,Asia,,CHINA
143,512,7.5,5130.0,,Asia,2720.0,CHINA
148,525,7.0,250000.0,,Middle East,,TURKEY
150,528,7.1,4870.0,,Middle East,,TURKEY
154,551,7.1,5000.0,,Europe,,GREECE
173,649,5.5,50.0,,Asia,,CHINA
184,734,7.0,101.0,,Asia,,CHINA
201,778,5.6,48.0,,Europe,,ITALY
202,780,6.3,100.0,,Asia,,SOUTH KOREA
210,814,7.0,101.0,,Asia,,CHINA
225,851,5.2,12000.0,10.0,Asia,,ARMENIA
233,856,7.9,200000.0,,Middle East,,IRAN
236,858,5.2,12000.0,10.0,Middle East,,TURKEY
247,871,6.8,20000.0,,Middle East,,IRAN
275,978,5.3,2000.0,,Middle East,,IRAN
289,1008,6.5,16000.0,,Middle East,,IRAN
298,1038,7.3,32300.0,,Asia,,CHINA
302,1042,7.6,50000.0,15.0,Middle East,,IRAN
308,1057,6.8,25000.0,,Asia,,CHINA
331,1096,8.4,400.0,,Asia,,JAPAN
333,1101,6.5,60000.0,10.0,Middle East,,IRAN
356,1143,6.0,10000.0,,Asia,,CHINA
382,1202,7.6,30000.0,,Middle East,,SYRIA
385,1208,6.1,2000.0,10.0,Asia,,TURKMENISTAN
386,1209,6.3,3000.0,,Asia,,CHINA
389,1219,6.5,10000.0,,Asia,,CHINA
426,1290,6.8,100000.0,,Asia,,CHINA
428,1291,6.5,150.0,,Asia,,CHINA
430,1293,7.1,23024.0,,Asia,,JAPAN
438,1303,8.0,4000.0,,Europe,,GREECE
441,1305,6.5,2000.0,,Asia,,CHINA
442,1306,6.5,5000.0,,Asia,,CHINA
447,1314,6.0,340.0,,Asia,,CHINA
458,1336,7.6,20000.0,,Middle East,,IRAN
493,1372,4.8,16.0,,Asia,,CHINA
533,1440,6.3,200.0,,Asia,,CHINA
571,1482,7.5,30000.0,,Middle East,,TURKEY
577,1487,6.3,1900.0,,Asia,,CHINA
586,1494,5.5,3.0,,Asia,,CHINA
600,1501,7.0,400.0,,Asia,,CHINA
604,1502,6.5,50.0,,Asia,,CHINA
617,1509,7.7,5000.0,,Middle East,10000.0,TURKEY
624,1511,6.5,15.0,7.0,Europe,,SLOVENIA
632,1515,7.0,100.0,,Asia,,CHINA
650,1531,7.7,30000.0,,Europe,,PORTUGAL
653,1536,7.3,3.0,,Asia,,CHINA
679,1556,8.0,830000.0,,Asia,,CHINA
685,1560,5.5,100.0,,Asia,,CHINA
686,1561,7.3,1001.0,,Asia,,CHINA
693,1564,5.8,650.0,,Europe,,FRANCE
699,1568,6.8,200.0,,Asia,,CHINA
710,1575,8.5,21.0,,South America,,CHILE
712,1577,6.5,170.0,,Asia,,CHINA
715,1579,5.0,10.0,,Asia,,CHINA
722,1584,5.9,100.0,,Europe,,SWITZERLAND
727,1586,8.2,8000.0,,Asia,,JAPAN
728,1586,5.5,20.0,,Asia,,CHINA
729,1586,8.5,22.0,60.0,South America,,PERU
757,1601,6.2,9.0,,Europe,,SWITZERLAND
761,1604,8.5,100.0,30.0,South America,,PERU
767,1605,7.5,2000.0,,Asia,,CHINA
768,1606,6.5,2000.0,,Asia,,CHINA
774,1609,7.3,840.0,,Asia,,CHINA
777,1610,7.9,60.0,,South America,,VENEZUELA
781,1611,5.5,2.0,,Asia,,CHINA
789,1613,5.6,103.0,,Europe,,ITALY
809,1619,8.6,350.0,40.0,South America,,PERU
821,1622,7.0,12000.0,,Asia,,CHINA
826,1626,7.0,5200.0,,Asia,,CHINA
830,1627,6.7,5000.0,,Europe,,ITALY
833,1628,6.3,63.0,,Asia,,CHINA
848,1633,7.1,150.0,,Asia,,JAPAN
852,1634,6.0,30.0,,Asia,,CHINA
855,1636,7.2,520.0,,Europe,,GREECE
859,1638,7.0,9581.0,,Europe,,ITALY
886,1645,8.0,600.0,,Central and South Pacific,2500.0,PHILIPPINES
894,1647,8.5,1000.0,,South America,,CHILE
908,1652,6.8,3000.0,,Asia,,CHINA
909,1653,7.5,2500.0,,Middle East,,TURKEY
911,1654,8.0,10400.0,,Asia,,CHINA
947,1664,7.3,400.0,15.0,South America,,PERU
948,1664,6.3,50.0,,Asia,,SOUTH KOREA
958,1667,7.2,5000.0,,Europe,,CROATIA
962,1667,6.9,80000.0,12.0,Asia,,AZERBAIJAN
968,1668,6.6,17500.0,,Middle East,,TURKEY
969,1668,8.5,42578.0,,Asia,,CHINA
971,1669,5.7,7000.0,5.0,Asia,,AZERBAIJAN
981,1672,5.6,1500.0,,Europe,,ITALY
987,1673,6.6,5600.0,,Middle East,,IRAN
990,1674,6.8,86.0,40.0,Central and South Pacific,35.0,INDONESIA
1004,1678,7.4,1.0,,Asia,,JAPAN
1006,1679,5.9,7600.0,15.0,Middle East,,TURKEY
1007,1679,8.0,13162.0,,Asia,,CHINA
1010,1680,6.8,2700.0,,Asia,,CHINA
1019,1683,7.0,1001.0,,Asia,,CHINA
1026,1687,8.5,5000.0,30.0,South America,,PERU
1034,1688,6.3,190.0,,Asia,,CHINA
1035,1688,7.0,16000.0,,Middle East,,TURKEY
1046,1693,6.0,60000.0,,Europe,,ITALY
1052,1695,8.0,20000.0,,Asia,,CHINA
1071,1703,6.7,10000.0,,Europe,,ITALY
1074,1703,8.2,5233.0,,Asia,,JAPAN
1083,1707,5.8,160.0,10.0,South America,,PERU
1085,1707,8.4,5000.0,,Asia,,JAPAN
1091,1709,7.5,2032.0,,Asia,,CHINA
1098,1711,6.7,1000.0,,Asia,,JAPAN
1099,1713,6.8,2100.0,,Asia,,CHINA
1121,1718,7.5,73000.0,,Asia,,CHINA
1134,1721,7.7,40000.0,,Middle East,,IRAN
1140,1725,7.7,1500.0,60.0,South America,,PERU
1142,1725,6.0,614.0,,Asia,184.0,CHINA
1158,1730,9.1,2.0,,South America,,CHILE
1159,1730,6.5,658.0,,Asia,,CHINA
1176,1736,6.0,260.0,,Asia,100.0,TAIWAN
1186,1738,6.5,336.0,,Asia,,CHINA
1187,1739,8.0,50000.0,,Asia,,CHINA
1207,1746,8.0,1141.0,30.0,South America,,PERU
1210,1748,5.5,15.0,,Asia,,CHINA
1214,1748,6.0,5.0,,Asia,,CHINA
1215,1748,5.5,40.0,,Asia,,CHINA
1220,1750,6.0,37.0,,Asia,,CHINA
1227,1751,6.6,2100.0,,Asia,,JAPAN
1229,1751,6.8,900.0,,Asia,,CHINA
1242,1754,6.5,4.0,,Central and South Pacific,,INDONESIA
1246,1755,6.5,270.0,,Asia,80.0,CHINA
1247,1755,6.0,70.0,,Asia,20.0,CHINA
1251,1755,8.5,50000.0,,Europe,,PORTUGAL
1256,1757,7.0,1000.0,,South America,,ECUADOR
1274,1761,6.0,120.0,,Asia,120.0,CHINA
1275,1761,6.0,50.0,,Asia,30.0,CHINA
1282,1763,6.2,83.0,,Europe,,HUNGARY
1284,1763,6.5,1000.0,,Asia,,CHINA
1288,1765,6.5,2068.0,,Asia,,CHINA
1290,1766,6.9,1700.0,,Asia,,JAPAN
1293,1766,6.8,40.0,25.0,Caribbean,700.0,CUBA
1347,1779,6.5,10000.0,,Middle East,,IRAN
1348,1780,7.7,50000.0,20.0,Middle East,,IRAN
1359,1783,6.9,30000.0,13.0,Europe,,ITALY
1372,1784,8.0,383.0,,South America,,PERU
1379,1785,6.0,36.0,,Asia,,CHINA
1383,1786,7.5,435.0,,Asia,,CHINA
1407,1791,7.0,50.0,,Europe,80.0,GREECE
1413,1792,6.8,252.0,,Asia,432.0,TAIWAN
1415,1792,6.0,205.0,,Asia,,CHINA
1417,1793,6.9,12.0,,Asia,,JAPAN
1418,1793,8.3,25.0,,Asia,,JAPAN
1420,1793,6.0,200.0,,Asia,30.0,CHINA
1432,1797,8.3,40000.0,,South America,,ECUADOR
1444,1799,6.5,2000.0,,Asia,,CHINA
1459,1802,6.6,19.0,,Asia,,JAPAN
1460,1803,6.0,200.0,,Asia,,CHINA
1465,1804,7.3,450.0,,Asia,,JAPAN
1473,1806,7.7,100.0,,Asia,,CHINA
1476,1808,5.7,2.0,,Europe,,ITALY
1488,1810,6.6,59.0,,Asia,,JAPAN
1491,1811,7.0,21.0,,Asia,21.0,TAIWAN
1492,1811,6.5,480.0,,Asia,,CHINA
1502,1812,7.7,26000.0,33.0,South America,,VENEZUELA
1506,1812,6.9,40.0,,North America and Hawaii,,USA
1507,1812,7.5,1.0,,North America and Hawaii,,USA
1511,1814,5.3,4.0,,Asia,,CHINA
1513,1814,6.0,900.0,,Asia,,CHINA
1517,1815,6.5,111.0,,Asia,,TAIWAN
1518,1815,6.8,13000.0,,Asia,,CHINA
1519,1815,7.0,10253.0,150.0,Asia,,INDONESIA
1523,1816,7.5,23.0,33.0,Central America,,GUATEMALA
1524,1816,6.5,2854.0,,Asia,,CHINA
1526,1817,8.0,4.0,,Europe,,FRANCE
1537,1819,5.8,126.0,,Asia,58.0,CHINA
1543,1819,7.7,1543.0,,Asia,,INDIA
1548,1820,6.0,430.0,,Asia,590.0,CHINA
1550,1820,6.9,8.0,,Europe,,GREECE
1561,1822,5.5,23.0,,Asia,20.0,CHINA
1564,1822,8.5,72.0,,South America,200.0,CHILE
1583,1825,6.8,58.0,,Europe,,GREECE
1594,1827,5.3,84.0,,Asia,,CHINA
1598,1827,7.0,250.0,,South America,,COLOMBIA
1601,1828,8.3,30.0,50.0,South America,,PERU
