I_D,FLAG_TSUNAMI,YEAR,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS
2566,No,1900,7.8,JAPAN,JAPAN:  SEA OF JAPAN,36.5,133.5,30,
2569,No,1900,7.4,MEXICO,MEXICO,20,-105,150,
2571,No,1900,7.8,MEXICO,MEXICO:  NEAR COAST OF JALISCO,20,-105,150,
2573,No,1900,7.5,COSTA RICA,COSTA RICA,10,-85.5,100,
2574,No,1900,5.9,TURKEY,"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR",40.3,43.1,140,140
2575,No,1900,7.6,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10,165,170,
6232,Yes,1900,6.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-4,152,170,
6234,Yes,1900,7.1,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  RABAUL HARBOR,-5,148,170,
2577,No,1900,7.9,COLOMBIA,COLOMBIA,4.6,-74,160,
6574,Yes,1900,6.9,INDONESIA,INDONESIA:  NW. IRIAN JAYA,-4,140,170,
2580,No,1900,8.3,USA,ALASKA:  KODIAK ISLAND,57.09,-153.48,150,
2583,Yes,1900,8.4,VENEZUELA,VENEZUELA:  MACUTO,11,-66,90,25
2586,No,1900,7.9,RUSSIA,RUSSIA:  KURIL ISLANDS,43,146,50,
2587,No,1901,7.8,ECUADOR,ECUADOR:  ESMERALDAS,-2,-82,160,
2588,No,1901,6,CHINA,CHINA:  YUNNAN PROVINCE,26,100.1,30,
7018,Yes,1901,6.4,USA,CALIFORNIA:  SAN DIEGO,36,-120.5,150,
2589,No,1901,6.4,BULGARIA,"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU",43.4,28.7,110,4
9778,Yes,1901,7.2,BULGARIA,BULGARIA:  BALCHIK,43.4,28.5,110,4
2591,No,1901,7.5,RUSSIA,RUSSIA:  KURIL ISLANDS,45,148,50,
2592,Yes,1901,7.9,JAPAN,JAPAN:  RYUKYU ISLANDS,27,130,30,
2594,Yes,1901,7.9,JAPAN,JAPAN:  OFF NORTHEAST COAST HONSHU,40.5,142.5,30,
2595,Yes,1901,7.9,NEW CALEDONIA,NEW CALEDONIA:  LOYALTY ISLANDS,-22,170,170,
2596,Yes,1901,8.2,JAPAN,JAPAN:  OFF NORTHEAST COAST HONSHU,40.6,142.3,30,18
2597,Yes,1901,6.3,JAPAN,JAPAN:  OFF NORTHEAST COAST HONSHU,40.5,142.5,30,
9352,Yes,1901,7,NICARAGUA,NICARAGUA,11,-86.5,100,
2599,No,1901,6.1,TURKEY,"TURKEY:  HASANKALE,HINS,ERZURUM",40,41.5,140,
2601,No,1901,7.8,PHILIPPINES,PHILIPPINES:  LUZON,14,122,170,
2602,No,1901,5.9,TURKEY,"TURKEY:  AYVALIK, MOSKO IS; GREECE:  KHIOS",39.4,26.7,140,
2603,Yes,1901,7.8,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.45,-171.02,150,
2606,No,1902,7.8,USA,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.4,-167.5,150,
2608,No,1902,7,MEXICO,MEXICO:  GUERRERO,17.6,-99.7,150,2
8773,Yes,1902,6.3,GUATEMALA,"GUATEMALA:  SAN MARTIN, QUEZALTENANGO",14.71,-91.59,100,
2610,No,1902,7.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-8,150,170,
2612,No,1902,7.8,TONGA,TONGA ISLANDS,-20,-174,170,
2613,No,1902,6.9,AZERBAIJAN,AZERBAIJAN:  SEMACHA; N IRAN,40.7,48.6,40,86
2614,Yes,1902,7,EL SALVADOR,EL SALVADOR-GUATEMALA,13.5,-89.5,100,
2615,No,1902,5.5,TURKEY,TURKEY:  CANKIRI,40.7,33.6,140,4
2618,Yes,1902,7.5,GUATEMALA,"GUATEMALA:  QUEZALTENANGO, SAN MARCOS",14,-91,100,2000
2622,No,1902,8,RUSSIA,RUSSIA:  SEA OF OKHOTSK,50,148,50,
2623,Yes,1902,6.6,TURKEY,TURKEY:  THESSALONIKI,40.75,23.25,140,
2626,Yes,1902,7.3,PHILIPPINES,"PHILIPPINES:  MINDANAO:  LANAO, COTABATO",7.5,123.5,170,
2631,No,1902,7.7,CHINA,"CHINA:  XINJIANG, TURKESTAN",39.88,76.2,40,2500
8116,No,1902,5.5,CHINA,CHINA:   YUNNAN PROVINCE,26.3,99.9,30,6
2634,No,1902,8.1,USA TERRITORY,GUAM:  AGANA,18,146,170,
